ID,Client_Income,Credit_Amount,Loan_Annuity,Client_Gender,Client_Income_Type,Client_Country,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
12142509,6750,61190.55,3416.85,Male,Commercial,USA,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,8.703703704,13495,11.19047619,Low,0,1
12138936,20250,15282,1826.55,Male,Service,China,3,122,alfa-romero,two,convertible,rwd,front,88.6,0.811148486,0.890277778,0.816053512,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,8.703703704,16500,11.19047619,Low,0,1
12181264,18000,59527.35,2788.2,Male,Service,India,1,122,alfa-romero,two,hatchback,rwd,front,94.5,0.822681403,0.909722222,0.876254181,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,9.038461538,16500,12.36842105,Medium,0,1
12188929,15750,53870.4,2295.45,Male,Retired,Japan,2,164,audi,four,sedan,fwd,front,99.8,0.848630466,0.919444444,0.908026756,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,7.833333333,13950,9.791666667,Low,0,1
12133385,33750,133988.4,3547.35,Female,Commercial,China,2,164,audi,four,sedan,4wd,front,99.4,0.848630466,0.922222222,0.908026756,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,10.68181818,17450,13.05555556,Low,0,1
12191614,11250,13752,653.85,Female,Service,India,2,122,audi,two,sedan,fwd,front,99.8,0.851994234,0.920833333,0.887959866,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,9.4,15250,12.36842105,Low,0,1
12128086,15750,128835,3779.55,Male,Retired,USA,1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,9.4,17710,12.36842105,Low,0,1
12215264,13500,60415.2,3097.8,Male,Retired,Japan,1,122,audi,four,wagon,fwd,front,105.8,0.925997117,0.991666667,0.931438127,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,9.4,18920,12.36842105,Low,0,1
12159147,13500,45000,1200.15,Female,Commercial,India,1,158,audi,four,sedan,fwd,front,105.8,0.925997117,0.991666667,0.934782609,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,11.75,23875,13.82352941,Medium,0,1
12130547,12150,16320.15,1294.65,Male,Retired,USA,2,192,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,8.103448276,16430,10.2173913,Low,0,1
